genus,epitet,author
Colchicum,antilibanoticum,R. Gomb.
Colchicum,balansae,Planch.
Colchicum,brachyphyllum,Boiss. et Hausskn.
Colchicum,byzantinum,Park.
Colchicum,candidum,Schott et Ky
Colchicum,crocifolium,Boiss.
Colchicum,decaisnei,Boiss.
Colchicum,deserti,syriaci Feinbr.
Colchicum,fasciculare,(L.) Boiss.
Colchicum,halepense,Freyn
Colchicum,haussknechtii,Boiss.
Colchicum,hierosolymitarium,Feinbr.
Colchicum,laetum,Stev.
Colchicum,libanoticum,Ehrenb.
Colchicum,ritchii,R. Br.
Colchicum,steveni,Kunth
Colchicum,tauri,Siehe
Colchicum,tunicatum.,Feinbr.
Colchicum,tuviae,Feinbr.
Colpodium,,
Colpodium,humile,(M. Bieb.) Asch. et Gr.
Comperia,,
Comperia,comperiana,(Stev. Asch. et
Cornucopiae,,
Cornucopiae,alopecuroides,L.
Cornucopiae,cucullatum,L.
Cornucopiae,involucratum,(Post) Mez.
Cornulaca,,
Cornulaca,setifera,Moqu.
Corrigiola,,
Corrigiola,littoralis,L.
Corylus,,
Corylus,avellana,L.
Corynephorus,,
Corynephorus,articulatus,(Desf.) Beauv.
Corynephorus,deschampsioides,Bornm.
Crithopsis,,
Crithopsis,delileana,(Schult.) Nevski
Crocus,,
Crocus,aleppicus,Baker
Crocus,cancellatus,Herb.
Crocus,cilicicus,Ky
Crocus,damascenus,Herb.
Crocus,dispathaceus,Bowles
Crocus,edulis,Boiss. et Bl.
Crocus,elwesii,(Maw) O. Schwarz
Crocus,gaillardoti,(Boiss. et Bl.) Maw
Crocus,graveolens,Boiss. et Reuter
Crocus,haussknechtii,Boiss. et Reut.
Crocus,hermoneus,Ky
Crocus,hyemalis,Boiss et Bl.
Crocus,kotschyanus,C. Koch
Crocus,libanoticus,Moût.
Crocus,macrobolbos,Jovet et Gomb.
Crocus,moabiticus,Bornm. et Dinsm.
Crocus,ochroleucus,Feinbr.
Crocus,palaestinus,Feinbr.
Crocus,sativus,L.
Crocus,syriacus,Boiss. et Gaill.
Crocus,thiebauti,Moût.
Crocus,vitellinus,Wahlenb.
Crocus,zonatusj.,Gay
Crypsis,,
Crypsis,aculeata,(L.) Aiton
Crypsis,alopecuroides,(L.) Host
Crypsis,factorovskyi,Eig
:,,
:,schœnoides,"(Pill, et Mitterp.) Host-*"
Ctenopsis,,
Ctenopsis,patens,(Boiss.) Meld.
Ctenopsis,pectinella,(Del.) De Notaris
Cucubalus,,
Cucubalus,aegyptiacus,L.
Cucubalus,baccifer,L.
Cucubalus,behen,L.
Cucubalus,inflatus,Salisb.
c,,
c,italiens,L.
c,polygonoides,Willd.
c,venosus,Gilib.
Cupressus,,
Cupressus,sempervirens,L.
Çutandia,,
Çutandia,dichotoma,(Forsk.) Trabut
Çutandia,maritima,(L.) Benth.
Çutandia,memphitica,(Spreng.) Benth.
Çutandia,philistaea,(Boiss.) Benth.
Cymbopogon,,
Cymbopogon,arriani,(Edgw.) Aitsch.
Cymbopogon,olivieri,(Boiss.) Bor
Cymbopogon,schoenanthus,(L.) Spreng.
Cymodocea,,
Cymodocea,aequorea,Kœnig
Cymodocea,major,(Cavol.) Grande
Cymodocea,nodosa,(Ucria) Asch.
Cynocrambe,,
Cynocrambe,prostrata,Gaertn.
Cynodon,,
Cynodon,dactylon,(L.) Pers.
Cynomorium,,
Cynomorium,coccineum,L.
Cynosurus,,
