genus,epitet,author
Cistus,aegyptiacus,L.
Cistus,arabicus,L.
Cistus,creticus,L.
Cistus,ellipticus,Desf.
Cistus,/umana,L.
Cistus,glutinosus,L.
Cistus,guttatus,L.
Cistus,ledifolius,L.
Cistus,Hppii,L.
Cistus,niloticus,L.
Cistus,nudifolius,Lâm.
Cistus,nummularius,L.
Cistus,racemosus,L.
Cistus,sàlviifolius,L.
Cistus,stipulatus,Forssk.
Cistus,thymifolius,L.
Cistus,tomentosus,Scop.
Cistus,umbellatus,L.
Cistus,villosus,L.
Clematis,,
Clematis,cirrhosa,L.
Clematis,flammula,L.
Clematis,vitalba,L.
Clematis,viticella,L.
Cleome,,
Cleome,glauca,D.C.
Cleome,glaucescens,D.C.
Cleome,kotschyana,Boiss.
Cleome,noëana,Boiss.
Cleome,ornithopodioides,L.
Clypeola,,
Clypeola,campestris,L.
Clypeola,echinata.,D.C.
Clypeola,jonthlaspi,L.
Clypeola,lappacea,Boiss.
Clypeola,maritima,L.
Clypeola,microcarpa,Moris
Clypeola,minor,L.
Cnidium,,
Cnidium,orientale.,Boiss.
Cochlearia,,
Cochlearia,coronopus,L.
Cochlearia,velutina,D.C.
Colchicum,,
Colchicum,fasciculare,"(L.) R. Br. , Boiss."
Colchicum,fasciculare,"(L.) R. Br. , Boiss."
Colchicum,halepense,Freyn
Colladonia,,
Colladonia,alata,Boiss.
Colladonia,anisoptera,Boiss.
Colladonia,crenata,(Fenzl) Boiss.
Colladonia,microcarpa,(Benth. et Hook.)
Colladonia,syriaca,Boiss.
Colutea,,
Colutea,arborescens,L.
Colutea,cilicica,Boiss. et Bal.
Colutea,haleppica,Lam.
Colutea,istria,Mill.
Colutea,"""melanocalyx",Boiss.
Colutea,spinosa,Forssk.
Coluteocarpus,,
Coluteocarpus,reticulatus,(Lam.) Boiss. -
Coluteocarpus,vesicarius,(L.) Holmboe
Commicarpus,,
Commicarpus,africanus,(Lour.) Dandy
Conium,,
Conium,maculatum,L.
Conringia,,
Conringia,clavata,Boiss.
Conringia,orientalis,(L.) Dum.
Conringia,perfoliata,(C.A. Mey.) Dum.
Consolida,,
Consolida,ambigua,(li.) Ball et Heywood
Consolida,anthoroidea,(Boiss.) Schrôd.
Consolida,axilliflora,(D.C.) Schrôd.
Consolida,coelesyriaca,Mout.
Consolida,deserti-syriaci,(Zoh.) Munz
Consolida,flâva,(D.C.) Schrod.
Consolida,gombaultii,(Thiéb.) Munz
Consolida,hellespontica,(Boiss.) Chater
Consolida,hohenackeri,(Boiss.).Grossheim
Consolida,incana,(Clarke) Munz
Consolida,oligantha,(Boiss.) Auct.
Consolida,oliveriana,(D.C.) Schrôd.
Consolida,orientalis,(Gay) Schroder
Consolida,pusilla,(Lab.) Schrôd. .
Consolida,rigida,(D.C.) Hayek
Consolida,rugulosa,(Boiss.) Schrôd.
Consolida,tomentosa,(Âuch. ex Boiss.)
Corchorus,,
Corchorus,olitorius,L.
Coriandrum,,
Coriandrum,sativum,L.
Coriandrum,testiculatum,L.
Coriandrum,tordylioides,Boiss.
Coriandrum,tordylium,(Fenzl) Bornm.
Cornus,,
Cornus,australis,C.A. Mey.
Cornus,mas,L.
Cornus,sanguinea,L.
Goronilla,,
Goronilla,eretica,L.
Goronilla,emeroides,Boiss. et Sprun.
